anime_id,name,genre,type,episodes,rating,members,japanese_title,aired,image_url,ave_rating_minmax
24171,Mushibugyou OVA,"Action, Fantasy, Historical, Martial Arts, Samurai, Shounen, Super Power",OVA,3,7.2,3636,,,,0.70962965
9465,Break Blade 4: Sanka no Chi,"Action, Fantasy, Mecha, Military, Shounen",Movie,1,7.99,41598,,,,0.7887058
17679,Gambo,"Demons, Historical",Movie,1,6.78,4232,,,,0.6992337
1829,Gedo Senki,"Adventure, Fantasy, Magic",Movie,1,7.18,59243,,,,0.70463973
8086,Densetsu no Yuusha no Densetsu,"Action, Adventure, Fantasy, Magic, Shounen",TV,24,7.83,130689,,,,0.77100796
17389,Kingdom 2nd Season,"Action, Historical, Military, Seinen",TV,39,8.57,31234,キングダム 第2シリーズ,"Jun 8, 2013 to Mar 2, 2014",https://cdn.myanimelist.net/images/anime/13/53589.jpg,0.84464884
22097,Magi: Sinbad no Bouken,"Action, Adventure, Fantasy, Magic, Shounen",OVA,5,8.06,52351,マギ シンドバッドの冒険,"May 14, 2014 to Jul 15, 2015",https://cdn.myanimelist.net/images/anime/13/60471.jpg,0.7923077
30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25,8.68,176475,暗殺教室　第２期,"Jan 8, 2016 to Jul 1, 2016",https://cdn.myanimelist.net/images/anime/8/77966.jpg,0.8541492
5300,Zoku Natsume Yuujinchou,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.64,114173,"続 夏目友人帳,","Jan 6, 2009 to Mar 31, 2009",https://cdn.myanimelist.net/images/anime/4/79738.jpg,0.85489005
6336,Mobile Suit Gundam Unicorn,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7,8.4,42076,機動戦士ガンダムUC（ユニコーン）,"Mar 12, 2010 to Jun 6, 2014",https://cdn.myanimelist.net/images/anime/12/50459.jpg,0.83310026
463,One Piece Movie 5: Norowareta Seiken,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Movie,1,7.44,35357,,,,0.733479
1088,Macross,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",TV,36,8.07,44157,超時空要塞マクロス,"Oct 3, 1982 to Jun 26, 1983",https://cdn.myanimelist.net/images/anime/1553/137717.jpg,0.7985316
471,To Heart 2,"Comedy, Drama, Harem, Romance, School, Slice of Life",TV,13,6.65,13877,,,,0.65185183
25517,Magic Kaito 1412,"Adventure, Comedy, Romance, Shounen",TV,24,7.95,43545,,,,0.78795105
2142,Blue Dragon,"Adventure, Comedy, Fantasy, Supernatural",TV,51,6.55,22718,,,,0.6329897
1238,One Piece: Mamore! Saigo no Dai Butai,"Adventure, Comedy, Fantasy, Shounen",Special,1,7.49,16495,,,,0.74217135
3918,Resort Boin,Hentai,OVA,3,7.31,9654,,,,0.70818913
833,Choujuushin Gravion,"Action, Comedy, Mecha, Sci-Fi, Shounen",TV,13,6.5,8364,,,,0.6309216
11033,"Natsu-iro Egao de 1, 2, Jump!",Music,Music,1,7.34,6939,,,,0.7130359
148,Kita e.: Diamond Dust Drops,"Drama, Romance, Slice of Life",TV,12,6.77,5736,,,,0.64920634
1591,Kujibiki♥Unbalance,"Comedy, Romance, School",TV,12,6.39,9021,,,,0.59555554
1342,Violence Jack: Jigoku Gai-hen,"Action, Drama, Horror",OVA,1,5.8,3456,,,,0.5594957
33569,Re:Petit kara Hajimeru Isekai Seikatsu,"Adventure, Comedy, Fantasy",Special,14,6.95,14310,,,,0.6788321
6654,Namakura Gatana,"Comedy, Samurai",Movie,1,4.76,848,,,,0.50427353
16574,Yu☆Gi☆Oh! Zexal Special,"Action, Fantasy, Game, Shounen",Special,1,6.34,1965,,,,0.62801933
2866,Ane☆Haramix,Hentai,OVA,4,6.96,7712,,,,0.6849447
496,Kamui no Ken,"Adventure, Drama, Fantasy, Historical, Shounen",Movie,1,6.72,2776,,,,0.622575
4935,Ikkyuu-san,"Comedy, Historical, Kids",TV,296,7.05,720,,,,0.73015875
6397,Tentou Mushi no Uta,"Drama, Slice of Life",TV,104,6.48,249,,,,0.44444445
1645,Harlock Saga: Nibelung no Yubiwa,"Action, Adventure, Drama, Sci-Fi, Seinen, Space",OVA,6,6.91,3244,,,,0.6507937
2122,Captain Tsubasa: Saikyou no Teki! Holland Youth,"Action, Shounen, Sports",OVA,1,7.01,2313,,,,0.68434346
24347,Inazuma Eleven: Chou Jigen Dream Match,"Shounen, Sports, Super Power",Movie,1,6.97,2280,,,,0.6759259
1580,Mouryou Senki Madara,"Adventure, Demons, Shounen, Supernatural",OVA,2,6.4,813,,,,0.60493827
1959,Wild 7,"Action, Drama, Police, Shounen",OVA,2,6.34,679,,,,0.53174603
2659,Doraemon Movie 14: Nobita to Buriki no Labyrinth,Fantasy,Movie,1,7.26,1181,,,,0.6632997
2366,Touma Kishinden Oni,Supernatural,TV,25,6.4,303,,,,0.6666667
7982,Tetsuro no Kanata,Adventure,OVA,1,5.87,340,,,,0.8888889
3175,Kaitei Choutokkyuu: Marine Express,"Action, Adventure, Comedy, Drama, Sci-Fi",Special,1,6.37,551,,,,0.6
29744,Seishun Midnight Runners: Shiosai,Music,Music,1,4.63,82,,,,0.22222222
29814,Ikiteirutte Subarashii!,Kids,Movie,1,4.42,78,,,,0.2777778
30903,Children Record,Music,Music,2,7.06,745,,,,0.6111111
31912,Shinsetsu Kachikachi Yama,"Action, Fantasy, Historical",Movie,1,5.23,147,,,,0.3888889
32855,Tonight,Music,Music,1,4.85,91,,,,0.22222222
4818,Houkago Renai Club: Koi no Étude,Hentai,OVA,2,5.39,605,,,,0.4920635
12027,Anne no Nikki: Anne Frank Monogatari,"Drama, Historical",Special,1,6.86,385,,,,0.82222223
6658,Unko-san: Tsuiteru Hito ni Shika Mienai Yousei,"Comedy, Magic",TV,13,3.25,300,,,,0.22222222
29834,Moshidora Recap,"Drama, Sports",Special,1,5.94,251,,,,0.44444445
17753,Kuruneko: Nyaalock Holmes no Bouken,"Comedy, Slice of Life",Special,4,6.7,183,,,,0.6666667
9376,Yamato Takeru: After War,"Action, Adventure, Fantasy, Magic, Mecha, Sci-Fi, Shounen, Space",OVA,2,6.58,243,,,,0.7222222
10623,Hayan Ma-eum Baeggu,Adventure,TV,13,7.06,359,,,,0.7777778
34239,Mutsugo to Ouma no Monogatari,"Comedy, Parody",ONA,6,6.47,1489,,,,0.6666667
31035,Inferno Cop Specials,"Action, Comedy",Special,2,6.06,755,,,,0.5555556
14075,Zetsuen no Tempest,"Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",TV,24,8.17,259900,絶園のテンペスト,"Oct 5, 2012 to Mar 29, 2013",https://cdn.myanimelist.net/images/anime/7/42453.jpg,0.8131749
392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,幽☆遊☆白書,"Oct 10, 1992 to Jan 7, 1995",https://cdn.myanimelist.net/images/anime/1228/111372.jpg,0.8379145
24873,Juuou Mujin no Fafnir,"Fantasy, Harem, Romance, School",TV,12,6.44,59544,,,,0.6308866
13261,Inazuma Eleven Go: Chrono Stone,"Shounen, Sports, Super Power",TV,51,7.45,11939,,,,0.7298091
25283,Kuusen Madoushi Kouhosei no Kyoukan,"Action, Drama, Fantasy, Magic, School",TV,12,6.57,81870,,,,0.6306739
243,Gravitation,"Comedy, Music, Romance, Shoujo, Shounen Ai",TV,13,7.26,67916,,,,0.718634
897,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,"Adventure, Fantasy, Sci-Fi, Shounen",Movie,1,6.84,51924,,,,0.65599626
6773,Shakugan no Shana III (Final),"Action, Drama, Fantasy, Romance, Supernatural",TV,24,7.73,133010,,,,0.76600033
31680,Super Lovers,"Comedy, Drama, Romance, Shounen Ai, Slice of Life",TV,10,7.54,36781,,,,0.7304048
16916,Kuroko no Basket: Tip Off,"Comedy, School, Shounen, Sports",Special,1,8.07,41760,黒子のバスケ 第22.5Q 「Tip Off」,"Feb 22, 2013",https://cdn.myanimelist.net/images/anime/10/76803.jpg,0.8002066
19669,Kuroko no Basket: Baka ja Katenai no yo!,"Comedy, School, Shounen, Sports",OVA,1,7.75,26785,,,,0.7687155
12471,Eureka Seven AO,"Action, Adventure, Drama, Mecha, Sci-Fi",TV,24,6.88,56453,,,,0.68881065
2235,Mizu no Kotoba,"Drama, Psychological, Sci-Fi",Special,1,7.03,15958,,,,0.6980711
2563,Aria The OVA: Arietta,"Fantasy, Sci-Fi, Shounen, Slice of Life",OVA,1,8.13,20629,ARIA The OVA ~ARIETTA~ (アリア ジ オーブイエー ~アリエッタ~),"Sep 21, 2007",https://cdn.myanimelist.net/images/anime/11/77622.jpg,0.7990506
1127,UFO Princess Valkyrie,"Comedy, Ecchi, Magic, Sci-Fi",TV,12,6.9,11794,,,,0.6909722
33221,Mobile Suit Gundam Thunderbolt: December Sky,"Action, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.92,2833,,,,0.7615741
1025,Kachou Ouji,"Adventure, Comedy, Music, Sci-Fi, Slice of Life",TV,13,7.16,16111,,,,0.70535713
34103,Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen,"Action, Horror, Mystery, Psychological",Special,1,8.1,29969,ダンガンロンパ３-The End of 希望ヶ峰学園-希望編,"Sep 29, 2016",https://cdn.myanimelist.net/images/anime/1295/91106.jpg,0.799425
28883,Hidan no Aria AA,"Action, School, Shoujo Ai",TV,12,6.4,39538,,,,0.62098026
12367,Shining Hearts: Shiawase no Pan,"Action, Fantasy",TV,12,6.21,27273,,,,0.6098765
3226,Major S4,"Comedy, Drama, Shounen, Sports",TV,26,8.35,28002,メジャー　（第4シリーズ),"Jan 5, 2008 to Jun 28, 2008",https://cdn.myanimelist.net/images/anime/9/75217.jpg,0.82295376
2580,Tsukuyomi: Moon Phase Special,"Comedy, Dementia, Slice of Life",Special,1,6.8,8030,,,,0.658543
540,Tenchi Muyou! Ryououki 2nd Season,"Action, Comedy, Harem, Sci-Fi, Shounen, Space",OVA,6,7.78,15837,,,,0.76680386
4158,Dore Dore no Uta,Music,Music,1,6.05,1658,,,,0.5847953
31118,Demon Busters: Ecchi na Ecchi na Demon Taiji The Animation,"Demons, Harem, Hentai, School, Supernatural",OVA,1,6.98,2713,,,,0.62222224
12611,Sengoku Collection,"Fantasy, Parody, Samurai",TV,26,6.54,16287,,,,0.6375
1721,Hitohira,"Drama, Romance, School, Slice of Life",TV,12,6.91,14299,,,,0.6754813
